Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2024-02-12,21800.8,21831.7,21574.75,21616.05,287436165.0,23921.14
2024-02-13,21664.3,21766.8,21543.35,21743.25,365785766.0,29896.62
2024-02-14,21578.15,21870.85,21530.2,21840.05,359120861.0,32535.0
2024-02-15,21906.55,21953.85,21794.8,21910.75,345394395.0,29559.69
2024-02-16,22020.3,22068.65,21968.95,22040.7,306394686.7217742,29496.514354838713
2024-02-19,22103.45,22186.65,22021.05,22122.25,218252325.0,21375.71
2024-02-20,22099.2,22215.6,22045.85,22196.95,295705319.0,26872.32
2024-02-21,22248.85,22249.4,21997.95,22055.05,364545679.0,29741.39
2024-02-22,22081.55,22252.5,21875.25,22217.45,343495136.0,33985.94
2024-02-23,22290.0,22297.5,22186.1,22212.7,225983194.0,24617.01
2024-02-26,22169.2,22202.15,22075.15,22122.05,207775504.0,20850.26
2024-02-27,22090.2,22218.25,22085.65,22198.35,252199186.0,24620.71
2024-02-28,22214.1,22229.15,21915.85,21951.15,202952371.0,20579.8
2024-02-29,21935.2,22060.55,21860.65,21982.8,360165824.0,40196.12
2024-03-01,22048.3,22353.3,22047.75,22338.75,351503075.0,29646.47
2024-03-02,22406.95,22419.55,22367.05,22378.4,35763814.0,1918.77
2024-03-04,22403.5,22440.9,22358.3,22405.6,298794435.0,23771.71
2024-03-05,22371.25,22416.9,22269.15,22356.3,296153036.0,29165.37
2024-03-06,22327.5,22497.2,22224.35,22474.05,312262560.0,31029.01
2024-03-07,22505.3,22525.65,22430.0,22493.55,379865142.0,33558.46
2024-03-11,22517.5,22526.6,22307.25,22332.65,277897373.0,27222.37
2024-03-12,22334.45,22452.55,22256.0,22335.7,299201167.0,29781.12
2024-03-13,22432.2,22446.75,21905.65,21997.7,493341697.0,40109.23
2024-03-14,21982.55,22204.6,21917.5,22146.65,426742460.0,37348.3
2024-03-15,22064.85,22120.9,21931.7,22023.35,661460455.0,60260.88
2024-03-18,21990.1,22123.7,21916.55,22055.7,356321519.0,23015.51
2024-03-19,21946.45,21978.3,21793.1,21817.45,344157465.0,30291.6
2024-03-20,21843.9,21930.9,21710.2,21839.1,312414696.0,28939.85
2024-03-21,21989.9,22080.95,21941.3,22011.95,353172434.0,31258.4
2024-03-22,21932.2,22180.7,21883.3,22096.75,388656439.0,39023.19
2024-03-26,21947.9,22073.2,21947.55,22004.7,328403719.0,33382.08
2024-03-27,22053.95,22193.6,22052.85,22123.65,409136866.0,38830.73
2024-03-28,22163.6,22516.0,22163.6,22326.9,407422815.0,45656.57
2024-04-01,22455.0,22529.95,22427.75,22462.0,243637071.0,21420.69
2024-04-02,22458.8,22497.6,22388.15,22453.3,289524237.0,27940.93
2024-04-03,22385.7,22521.1,22346.5,22434.65,309647491.0,30793.28
2024-04-04,22592.1,22619.0,22303.8,22514.65,400986156.0,40705.56
2024-04-05,22486.4,22537.6,22427.6,22513.7,242244731.0,24797.82
2024-04-08,22578.35,22697.3,22550.35,22666.3,227633561.0,22480.2
2024-04-09,22765.1,22768.4,22612.25,22642.75,232356772.0,21651.69
2024-04-10,22720.25,22775.7,22673.7,22753.8,276847931.0,25355.05
2024-04-12,22677.4,22726.45,22503.75,22519.4,357187778.0,36456.91
2024-04-15,22339.05,22427.45,22259.55,22272.5,355465814.0,29474.59
2024-04-16,22125.3,22213.75,22079.45,22147.9,317267066.0,28661.04
2024-04-18,22212.35,22326.5,21961.7,21995.85,456906707.0,43314.67
2024-04-19,21861.5,22179.55,21777.65,22147.0,362530569.0,36073.63
2024-04-22,22336.9,22375.65,22198.15,22336.4,279259571.0,26841.2
2024-04-23,22447.05,22447.55,22349.45,22368.0,231520813.0,25651.64
2024-04-24,22421.55,22476.45,22384.0,22402.4,235898642.0,21925.6
2024-04-25,22316.9,22625.95,22305.25,22570.35,475044740.0,53803.8
2024-04-26,22620.4,22620.4,22385.55,22419.95,329887340.0,36984.89
2024-04-29,22475.55,22655.8,22441.9,22643.4,291957361.0,32431.45
2024-04-30,22679.65,22783.35,22568.4,22604.85,361859375.0,38741.7
2024-05-02,22567.85,22710.5,22567.85,22648.2,445909456.0,43133.31
2024-05-03,22766.35,22794.7,22348.05,22475.85,438060727.0,44432.55
